"MTU (CET/CEST)","Day-ahead Price [EUR/MWh]","Currency","BZN|AT"
"02.01.2022 11:15 - 02.01.2022 11:30","129.95","EUR"
"02.01.2022 11:30 - 02.01.2022 11:45","96.11","EUR"
"02.01.2022 11:45 - 02.01.2022 12:00","80.00","EUR"
"02.01.2022 12:00 - 02.01.2022 12:15","139.96","EUR"
"02.01.2022 12:15 - 02.01.2022 12:30","129.92","EUR"
"02.01.2022 12:30 - 02.01.2022 12:45","86.00","EUR"
"02.01.2022 12:45 - 02.01.2022 13:00","72.20","EUR"
"02.01.2022 13:00 - 02.01.2022 13:15","139.94","EUR"
"02.01.2022 13:15 - 02.01.2022 13:30","109.38","EUR"
"02.01.2022 13:30 - 02.01.2022 13:45","87.00","EUR"
"02.01.2022 13:45 - 02.01.2022 14:00","84.00","EUR"
"02.01.2022 14:00 - 02.01.2022 14:15","119.92","EUR"
"02.01.2022 14:15 - 02.01.2022 14:30","88.97","EUR"
"02.01.2022 14:30 - 02.01.2022 14:45","109.91","EUR"
"02.01.2022 14:45 - 02.01.2022 15:00","80.96","EUR"
"02.01.2022 15:00 - 02.01.2022 15:15","68.95","EUR"
"02.01.2022 15:15 - 02.01.2022 15:30","100.20","EUR"
"02.01.2022 15:30 - 02.01.2022 15:45","109.92","EUR"
"02.01.2022 15:45 - 02.01.2022 16:00","119.94","EUR"
"02.01.2022 16:00 - 02.01.2022 16:15","75.74","EUR"
"02.01.2022 16:15 - 02.01.2022 16:30","74.00","EUR"
"02.01.2022 16:30 - 02.01.2022 16:45","119.98","EUR"
"02.01.2022 16:45 - 02.01.2022 17:00","150.00","EUR"
"02.01.2022 17:00 - 02.01.2022 17:15","88.36","EUR"
"02.01.2022 17:15 - 02.01.2022 17:30","115.81","EUR"
"02.01.2022 17:30 - 02.01.2022 17:45","102.00","EUR"
"02.01.2022 17:45 - 02.01.2022 18:00","114.00","EUR"
"02.01.2022 18:00 - 02.01.2022 18:15","155.72","EUR"
"02.01.2022 18:15 - 02.01.2022 18:30","256.98","EUR"
"02.01.2022 18:30 - 02.01.2022 18:45","148.01","EUR"
"02.01.2022 18:45 - 02.01.2022 19:00","109.97","EUR"
